id,title,price,thumbnail_id,catalog_product_id,listing_type_id,permalink,buying_mode
MLA1425880255,Sony Playstation 5 Slim 1tb Digital Color Blanco,879500,970771-MLA73347645092_122023,MLA29001053,gold_special,https://articulo.mercadolibre.com.ar/MLA-1425880255-sony-playstation-5-slim-1tb-digital-color-blanco-_JM,buy_it_now
MLA1513331832,Consola Sony Playstation 5 Ps5 Standard 825gb + Dualsense,1249999,785072-MLA71854022391_092023,MLA16171887,gold_pro,https://articulo.mercadolibre.com.ar/MLA-1513331832-consola-sony-playstation-5-ps5-standard-825gb-dualsense-_JM,buy_it_now
MLA1709378608,Sony Playstation 5 Slim Digital 1tb Digital Spiderman 2,1049999.99,728309-MLA75150933334_032024,,gold_special,https://articulo.mercadolibre.com.ar/MLA-1709378608-sony-playstation-5-slim-digital-1tb-digital-spiderman-2-_JM,buy_it_now
MLA1426204429,Consola Sony Playstation 5 Ps5 Edición Estándar Y Joystick ,950000,829803-MLA69858034083_062023,MLA22650911,gold_special,https://www.mercadolibre.com.ar/consola-sony-playstation-5-ps5-edicion-estandar-y-joystick/p/MLA22650911,buy_it_now
MLA1426316255,Sony Playstation 5 825gb God Of War Ragnarok Bundle Color Blanco/negro,1499999,668835-MLU75793607777_042024,MLA35059766,gold_pro,https://www.mercadolibre.com.ar/sony-playstation-5-825gb-god-of-war-ragnarok-bundle-color-blanconegro/p/MLA35059766,buy_it_now
MLA1720487046,Sony Playstation 5 825gb God Of War Ragnarok Color Blanco Y ,1286998.83,717663-MLA75426726247_032024,MLA19917556,gold_pro,https://articulo.mercadolibre.com.ar/MLA-1720487046-sony-playstation-5-825gb-god-of-war-ragnarok-color-blanco-y-_JM,buy_it_now
MLA1419695735,Sony Playstation 5 825gb Horizon Forbidden West Bundle  Color Blanco Y Negro,1624987,654100-MLA52222544297_102022,MLA19038334,gold_pro,https://www.mercadolibre.com.ar/sony-playstation-5-825gb-horizon-forbidden-west-bundle-color-blanco-y-negro/p/MLA19038334,buy_it_now
MLA1411902947,Sony Playstation 5 Standard Lectora 825 Gb Con Joystick Color Blanco Con Negro,1052929,864293-MLA73983121108_012024,MLA23066454,gold_special,https://www.mercadolibre.com.ar/sony-playstation-5-standard-lectora-825-gb-con-joystick-color-blanco-con-negro/p/MLA23066454,buy_it_now
MLA1567125432, Consola Playstation 5 Slim  Marvels Spider-man 2,1162500,892744-MLA72918918591_112023,MLA28445688,gold_special,https://articulo.mercadolibre.com.ar/MLA-1567125432-consola-playstation-5-slim-marvels-spider-man-2-_JM,buy_it_now
MLA1387813941,Consola Sony Playstation 5 Ps5 Standard Ed 825gb + Dualsense,1244999,781396-MLA71654586341_092023,MLA16171887,gold_pro,https://articulo.mercadolibre.com.ar/MLA-1387813941-consola-sony-playstation-5-ps5-standard-ed-825gb-dualsense-_JM,buy_it_now
